,precision,recall,f1-score,support
Glioma,0.96875,0.93,0.9489795918367347,300.0
Meningioma,0.9074074074074074,0.9607843137254902,0.9333333333333333,306.0
Pituitary,0.9950124688279302,0.9851851851851852,0.9900744416873449,405.0
No-Tumor,0.9798657718120806,0.9733333333333334,0.9765886287625418,300.0
accuracy,0.9641495041952708,0.9641495041952708,0.9641495041952708,0.9641495041952708
macro avg,0.9627589120118546,0.9623257080610021,0.9622439989049887,1311.0
weighted avg,0.9650888238639226,0.9641495041952708,0.9643406674776183,1311.0
Model,Hybrid_MobDenseNet_CBAM_GradCAM,Hybrid_MobDenseNet_CBAM_GradCAM,Hybrid_MobDenseNet_CBAM_GradCAM,Hybrid_MobDenseNet_CBAM_GradCAM
Dataset,Brain Tumor MRI (Balanced),Brain Tumor MRI (Balanced),Brain Tumor MRI (Balanced),Brain Tumor MRI (Balanced)
Input Size,Hybrid MobileNetV2+DenseNet121+CBAM 224x224,Hybrid MobileNetV2+DenseNet121+CBAM 224x224,Hybrid MobileNetV2+DenseNet121+CBAM 224x224,Hybrid MobileNetV2+DenseNet121+CBAM 224x224
Test Accuracy,0.959573,0.959573,0.959573,0.959573
Macro F1,0.962244,0.962244,0.962244,0.962244
Inference (ms/img),36.619,36.619,36.619,36.619
Params (M),10.144,10.144,10.144,10.144
