,precision,recall,f1-score,support
Glioma,0.9836065573770492,0.8450704225352113,0.9090909090909091,71.0
Meningioma,0.8767123287671232,0.9014084507042254,0.8888888888888888,71.0
Pituitary,0.8860759493670886,0.9859154929577465,0.9333333333333333,71.0
accuracy,0.9107981220657277,0.9107981220657277,0.9107981220657277,0.9107981220657277
macro avg,0.9154649451704203,0.9107981220657276,0.9104377104377104,213.0
weighted avg,0.9154649451704203,0.9107981220657277,0.9104377104377103,213.0
Model,Hybrid_MobDenseNet_CBAM_GradCAM,Hybrid_MobDenseNet_CBAM_GradCAM,Hybrid_MobDenseNet_CBAM_GradCAM,Hybrid_MobDenseNet_CBAM_GradCAM
Dataset,Brain Tumor MRI (Balanced),Brain Tumor MRI (Balanced),Brain Tumor MRI (Balanced),Brain Tumor MRI (Balanced)
Input Size,Hybrid_MobDenseNet_CBAM_GradCAM 224x224,Hybrid_MobDenseNet_CBAM_GradCAM 224x224,Hybrid_MobDenseNet_CBAM_GradCAM 224x224,Hybrid_MobDenseNet_CBAM_GradCAM 224x224
Test Accuracy,0.910798,0.910798,0.910798,0.910798
Macro F1,0.910438,0.910438,0.910438,0.910438
Inference (ms/img),27.81,27.81,27.81,27.81
Params (M),10.144,10.144,10.144,10.144
